fio,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,work_hour
Анестезиолог2 Р.Б.,1,2024,Сутки анестезиология,,,,,Сутки анестезиология,,,,,,,,Сутки анестезиология,,,Сутки анестезиология,,,,Сутки анестезиология,,,,,,,,,,,136
Анестезиолог1 С.Н.,1,2024,Сутки реанимация,,,,,Сутки реанимация,,Сутки реанимация,,,Сутки реанимация,,Сутки анестезиология,,,Сутки реанимация,,,,,Сутки реанимация,,,Сутки анестезиология,,,,Сутки анестезиология,,,Сутки анестезиология,136
Анестезиолог3 А.А.,1,2024,,Сутки реанимация,,Сутки реанимация,,,,,Сутки реанимация,День,День,Сутки анестезиология,,Сутки реанимация,День,День,День,День,Сутки реанимация,,,День,День,Сутки реанимация,День,Сутки реанимация,,Сутки реанимация,День,День,Сутки реанимация,136
Анестезиолог5 С.Ю.,1,2024,,,Сутки анестезиология,,,,Сутки реанимация,,День,Сутки реанимация,День,Сутки реанимация,,,Сутки реанимация,День,День,Сутки реанимация,День,Сутки реанимация,,День,Сутки реанимация,День,Сутки реанимация,День,,,День,Сутки реанимация,День,136
Анестезиолог6 А.Н.,1,2024,,,Сутки реанимация,,Сутки реанимация,,Сутки анестезиология,,,Сутки анестезиология,,,Сутки реанимация,,Сутки анестезиология,,Сутки реанимация,,,,,Сутки реанимация,,,,,Сутки реанимация,,Сутки реанимация,,,136
Анестезиолог7 Т.О.,1,2024,,Сутки анестезиология,,,,,,,Сутки анестезиология,День,День,День,,,День,Сутки анестезиология,День,День,День,,,День,Сутки анестезиология,День,День,День,,,День,Сутки анестезиология,День,136
Анестезиолог8 А.А.,1,2024,,,,,,,,,,,,,,,,,,,Сутки анестезиология,,,Сутки анестезиология,,,,Сутки анестезиология,,,Сутки анестезиология,,,136
Анестезиолог9 О.Н.,1,2024,,,,Сутки анестезиология,,,,Сутки анестезиология,,,Сутки анестезиология,,,,,,,Сутки анестезиология,,,,,,,Сутки анестезиология,,,,,,,136
Анестезиолог10 Г.Ю.,1,2024,,,,,Сутки анестезиология,,,,,,,,,,,,,,,Сутки анестезиология,,,,,,,Сутки анестезиология,,,,,136
